source	edge_type	target	attribute
DOID:10965	PRESENTS_DpS	D051346	19.31856338594552
DOID:12347	PRESENTS_DpS	D051346	32.64171054866655
DOID:1969	PRESENTS_DpS	D051346	19.31856338594552
DOID:6725	PRESENTS_DpS	D051346	13.550648755376914
DOID:0080016	PRESENTS_DpS	D051346	18.878254248943907
DOID:8717	PRESENTS_DpS	D051346	11.00708844082942
DOID:14330	PRESENTS_DpS	D051346	6.093290823623207
DOID:10970	PRESENTS_DpS	D051346	19.31856338594552
DOID:0060326	PRESENTS_DpS	D051346	10.593552744011687
DOID:1074	PRESENTS_DpS	D051346	4.563544932079416
DOID:2377	PRESENTS_DpS	D051346	16.66026452064175
DOID:0050783	PRESENTS_DpS	D051346	48.86627759129285
DOID:7148	PRESENTS_DpS	D051346	3.712887882730282
DOID:4952	PRESENTS_DpS	D051346	26.93604569666386
DOID:17	PRESENTS_DpS	D051346	15.418888287095545
DOID:2378	PRESENTS_DpS	D051346	16.19322395253986
DOID:863	PRESENTS_DpS	D051346	3.344066233348125
DOID:11836	PRESENTS_DpS	D051346	15.554617937510116
DOID:848	PRESENTS_DpS	D051346	5.58393306857807
DOID:13359	PRESENTS_DpS	D051346	14.790775092364536
DOID:10968	PRESENTS_DpS	D051346	19.31856338594552
DOID:0050784	PRESENTS_DpS	D051346	48.86627759129285
DOID:0050830	PRESENTS_DpS	D051346	23.98077668308703
DOID:440	PRESENTS_DpS	D051346	11.0560632503548
DOID:0050785	PRESENTS_DpS	D051346	48.86627759129285
DOID:11723	PRESENTS_DpS	D051346	91.18716387219234
DOID:4235	PRESENTS_DpS	D051346	25.584043403008923
DOID:11476	PRESENTS_DpS	D051346	6.811891278724555
DOID:326	PRESENTS_DpS	D051346	5.5823649885251125
DOID:4260	PRESENTS_DpS	D051346	28.317381373415856
DOID:6193	PRESENTS_DpS	D051346	25.584043403008923
DOID:10871	PRESENTS_DpS	D051346	3.986923731275157
DOID:7147	PRESENTS_DpS	D051346	15.098916240122126
DOID:12842	PRESENTS_DpS	D051346	11.824174235152233
DOID:3083	PRESENTS_DpS	D051346	7.645692970822282
DOID:480	PRESENTS_DpS	D051346	9.776583150372376
DOID:11555	PRESENTS_DpS	D051346	27.268589470696753
DOID:0080302	PRESENTS_DpS	D019462	4.47116548001303
DOID:3683	PRESENTS_DpS	D019462	4.602191625313738
DOID:2843	PRESENTS_DpS	D019462	79.26156987295828
DOID:0050847	PRESENTS_DpS	D019462	4.47116548001303
DOID:3407	PRESENTS_DpS	D019462	10.768501188021158
DOID:0111154	PRESENTS_DpS	D019462	848.7085020242915
DOID:4752	PRESENTS_DpS	D019462	9.312869535717748
DOID:0050451	PRESENTS_DpS	D019462	49.90350155817175
DOID:1826	PRESENTS_DpS	D019462	6.794186915961281
DOID:11984	PRESENTS_DpS	D019462	68.56797502230151
DOID:0060319	PRESENTS_DpS	D019462	56.2838579217736
DOID:114	PRESENTS_DpS	D019462	4.37636361565966
DOID:0050820	PRESENTS_DpS	D019462	208.22480650154802
DOID:8544	PRESENTS_DpS	D019462	17.589176201372993
DOID:12491	PRESENTS_DpS	D019462	165.79961173425366
DOID:12382	PRESENTS_DpS	D019462	24.19563711911357
DOID:0060224	PRESENTS_DpS	D019462	52.77587261559972
DOID:12930	PRESENTS_DpS	D019462	35.36285425101215
DOID:9261	PRESENTS_DpS	D019462	14.125385915907085
DOID:13884	PRESENTS_DpS	D019462	270.9047227443609
DOID:988	PRESENTS_DpS	D019462	23.741258957252285
DOID:3825	PRESENTS_DpS	D012877	38.40162869704236
DOID:75	PRESENTS_DpS	D012877	40.57530579310137
DOID:627	PRESENTS_DpS	D012877	55.52042703186848
DOID:409	PRESENTS_DpS	D012877	3.0735939119119187
DOID:1240	PRESENTS_DpS	D012877	24.675745347497106
DOID:615	PRESENTS_DpS	D012877	7.314595942293782
DOID:1602	PRESENTS_DpS	D012877	6.727292618459978
DOID:9074	PRESENTS_DpS	D012877	13.726539619368337
DOID:9809	PRESENTS_DpS	D012877	10.512993407555324
DOID:1245	PRESENTS_DpS	D012877	31.24200300776328
DOID:50	PRESENTS_DpS	D012877	6.9122931654676245
DOID:5082	PRESENTS_DpS	D012877	3.6755297656192094
DOID:6195	PRESENTS_DpS	D012877	10.297643449486221
DOID:3309	PRESENTS_DpS	D012877	17.555030261505078
DOID:12361	PRESENTS_DpS	D012877	8.174182605135403
DOID:11713	PRESENTS_DpS	D012877	10.955590950716395
DOID:8893	PRESENTS_DpS	D012877	4.995333814249413
DOID:850	PRESENTS_DpS	D012877	3.3883790026802094
DOID:468	PRESENTS_DpS	D012877	4.662592354446965
DOID:14283	PRESENTS_DpS	D012877	122.88521183053558
DOID:3345	PRESENTS_DpS	D012877	23.23459887552143
DOID:1731	PRESENTS_DpS	D012877	34.13478106403766
DOID:8864	PRESENTS_DpS	D012877	83.78537170263789
DOID:8692	PRESENTS_DpS	D012877	53.969856547194674
DOID:13381	PRESENTS_DpS	D012877	10.533018156903047
DOID:3044	PRESENTS_DpS	D012877	8.593371456680808
DOID:4254	PRESENTS_DpS	D012877	24.25366022971097
DOID:5113	PRESENTS_DpS	D012877	11.755600621543582
DOID:7998	PRESENTS_DpS	D012877	3.769485025476551
DOID:10718	PRESENTS_DpS	D012877	6.103570124033222
DOID:2571	PRESENTS_DpS	D012877	23.273714361843858
DOID:12119	PRESENTS_DpS	D012877	13.755807294462938
DOID:0060192	PRESENTS_DpS	D012877	12.832949336733146
DOID:3138	PRESENTS_DpS	D012877	47.398581706063716
DOID:10223	PRESENTS_DpS	D012877	19.134375544547066
DOID:11055	PRESENTS_DpS	D012877	40.07126472734856
DOID:13579	PRESENTS_DpS	D012877	31.348268324116216
DOID:3486	PRESENTS_DpS	D012877	276.491726618705
DOID:474	PRESENTS_DpS	D012877	4.662592354446965
DOID:3947	PRESENTS_DpS	D012877	20.03563236367428
DOID:3310	PRESENTS_DpS	D012877	6.3928722917619645
DOID:1799	PRESENTS_DpS	D012877	23.156761023342128
DOID:1205	PRESENTS_DpS	D012877	10.428730848418859
DOID:1037	PRESENTS_DpS	D012877	77.14159773502783
DOID:8654	PRESENTS_DpS	D012877	33.75429783561686
DOID:9965	PRESENTS_DpS	D012877	12.288521183053556
DOID:2723	PRESENTS_DpS	D012877	4.0840727713250375
DOID:9455	PRESENTS_DpS	D012877	17.471831065952927
DOID:883	PRESENTS_DpS	D012877	28.801221522781766
DOID:854	PRESENTS_DpS	D012877	38.602684344670855
DOID:0060901	PRESENTS_DpS	D012877	20.390245325863198
DOID:4159	PRESENTS_DpS	D012877	11.048620444303898
DOID:3904	PRESENTS_DpS	D012877	20.36771466804457
DOID:13359	PRESENTS_DpS	D012877	20.57230108770127
DOID:162	PRESENTS_DpS	D012877	3.610093393210687
DOID:9538	PRESENTS_DpS	D012877	9.443023450092383
DOID:6536	PRESENTS_DpS	D012877	11.448932779242446
DOID:1697	PRESENTS_DpS	D012877	14.086186945639994
DOID:8577	PRESENTS_DpS	D012877	7.832626816393911
DOID:8691	PRESENTS_DpS	D012877	44.95800432824471
DOID:8778	PRESENTS_DpS	D012877	12.832949336733146
DOID:3134	PRESENTS_DpS	D012877	9.428532877023187
DOID:381	PRESENTS_DpS	D012877	9.095122586141613
DOID:8476	PRESENTS_DpS	D012877	20.330274016081255
DOID:0060058	PRESENTS_DpS	D012877	16.232390995227302
DOID:1247	PRESENTS_DpS	D012877	6.6146346081029925
DOID:4257	PRESENTS_DpS	D012877	115.20488609112712
DOID:8659	PRESENTS_DpS	D012877	7.701719404420753
DOID:8505	PRESENTS_DpS	D012877	46.547428723687716
DOID:178	PRESENTS_DpS	D012877	10.244359361112107
DOID:0014667	PRESENTS_DpS	D012877	4.21389524565847
DOID:11262	PRESENTS_DpS	D012877	72.76098068913291
DOID:0080001	PRESENTS_DpS	D012877	10.563198724687872
DOID:0050426	PRESENTS_DpS	D012877	18.808960994469725
DOID:11266	PRESENTS_DpS	D012877	26.714176484899035
DOID:1272	PRESENTS_DpS	D012877	8.429625811545883
DOID:28	PRESENTS_DpS	D012877	26.825254141800905
DOID:8628	PRESENTS_DpS	D012877	33.75429783561686
DOID:12205	PRESENTS_DpS	D012877	5.851676753835028
DOID:305	PRESENTS_DpS	D012877	6.9821143085531565
DOID:9972	PRESENTS_DpS	D012877	141.79062903523334
DOID:1759	PRESENTS_DpS	D012877	34.13478106403766
DOID:4015	PRESENTS_DpS	D012877	7.331220023980816
DOID:2738	PRESENTS_DpS	D012877	40.07126472734856
DOID:13268	PRESENTS_DpS	D012877	58.41374506028979
DOID:620	PRESENTS_DpS	D012877	51.392514241395
DOID:12132	PRESENTS_DpS	D012877	11.77813531922066
DOID:9119	PRESENTS_DpS	D012877	9.45270860234889
DOID:161	PRESENTS_DpS	D012877	43.54200419192205
DOID:9120	PRESENTS_DpS	D012877	14.100180773322927
DOID:2583	PRESENTS_DpS	D012877	29.25838376917514
DOID:1556	PRESENTS_DpS	D012877	87.77515130752542
DOID:277	PRESENTS_DpS	D012877	4.662592354446965
DOID:3906	PRESENTS_DpS	D012877	17.983201731297893
DOID:0050486	PRESENTS_DpS	D012877	6.73548664113776
DOID:9252	PRESENTS_DpS	D012877	8.92628657364665
DOID:10393	PRESENTS_DpS	D012877	34.13478106403766
DOID:11247	PRESENTS_DpS	D012877	7.200305380695442
DOID:7148	PRESENTS_DpS	D012877	5.164208565907827
DOID:811	PRESENTS_DpS	D012877	24.909164560243696
DOID:13450	PRESENTS_DpS	D012877	33.514148681055154
DOID:13189	PRESENTS_DpS	D012877	9.262704409336852
DOID:8567	PRESENTS_DpS	D012877	33.75429783561686
DOID:4398	PRESENTS_DpS	D012877	4.995333814249413
DOID:3683	PRESENTS_DpS	D012877	4.0260899398428105
DOID:3892	PRESENTS_DpS	D012877	16.757074340527573
DOID:2355	PRESENTS_DpS	D012877	3.9070898721437364
DOID:9153	PRESENTS_DpS	D012877	31.780658232035066
DOID:5812	PRESENTS_DpS	D012877	55.52042703186848
DOID:0050185	PRESENTS_DpS	D012877	21.43346717974458
DOID:13515	PRESENTS_DpS	D012877	45.23382030571861
DOID:2352	PRESENTS_DpS	D012877	14.746225419664269
DOID:9856	PRESENTS_DpS	D012877	14.070825782122393
DOID:999	PRESENTS_DpS	D012877	5.229157950235557
DOID:3119	PRESENTS_DpS	D012877	13.755807294462937
DOID:1080	PRESENTS_DpS	D012877	49.373522610483036
DOID:1564	PRESENTS_DpS	D012877	6.852335232185999
DOID:14203	PRESENTS_DpS	D012877	19.134375544547066
DOID:14323	PRESENTS_DpS	D012877	24.126677715419287
DOID:583	PRESENTS_DpS	D012877	3.4778833536944034
DOID:8593	PRESENTS_DpS	D012877	53.969856547194674
DOID:8781	PRESENTS_DpS	D012877	9.18577164846196
DOID:7551	PRESENTS_DpS	D012877	194.02928183768773
DOID:612	PRESENTS_DpS	D012877	13.755807294462938
DOID:11634	PRESENTS_DpS	D012877	9.179672198496183
DOID:9182	PRESENTS_DpS	D012877	18.808960994469725
DOID:2228	PRESENTS_DpS	D012877	24.25366022971097
DOID:74	PRESENTS_DpS	D012877	22.782089833750977
DOID:3156	PRESENTS_DpS	D012877	28.67321609379164
DOID:11476	PRESENTS_DpS	D012877	3.5529648755937417
DOID:4223	PRESENTS_DpS	D012877	34.778833536944035
DOID:9281	PRESENTS_DpS	D012877	12.51093785605
DOID:1586	PRESENTS_DpS	D012877	6.430040153923372
DOID:11678	PRESENTS_DpS	D012877	18.250278984733008
DOID:3875	PRESENTS_DpS	D012877	7.728629674876451
DOID:418	PRESENTS_DpS	D012877	7.945164558008765
DOID:987	PRESENTS_DpS	D012877	7.761171273507509
DOID:9500	PRESENTS_DpS	D012877	57.60244304556355
DOID:37	PRESENTS_DpS	D012877	22.850555918901247
