Node	Node_Name	Node_Type
D000006	Abdomen, Acute	Symptom
D000067329	Obesity, Metabolically Benign	Symptom
D000068376	Compassion Fatigue	Symptom
D000070607	Morton Neuroma	Symptom
D000071057	Tardive Dyskinesia	Symptom
D000071699	Bilateral Vestibulopathy	Symptom
D000071896	Medically Unexplained Symptoms	Symptom
D000072716	Cancer Pain	Symptom
D000073923	Food Intolerance	Symptom
D000075562	Charles Bonnet Syndrome	Symptom
D000076042	Alcoholic Korsakoff Syndrome	Symptom
D000076082	Travel-Related Illness	Symptom
D000078064	Gestational Weight Gain	Symptom
D000334	Aerophagy	Symptom
D000370	Ageusia	Symptom
D000377	Agnosia	Symptom
D000381	Agraphia	Symptom
D000419	Albuminuria	Symptom
D000550	Amblyopia	Symptom
D000647	Amnesia	Symptom
D000648	Amnesia, Retrograde	Symptom
D000787	Angina Pectoris	Symptom
D000788	Angina Pectoris, Variant	Symptom
D000789	Angina, Unstable	Symptom
D000849	Anomia	Symptom
D000855	Anorexia	Symptom
D000857	Olfaction Disorders	Symptom
D000860	Hypoxia	Symptom
D001037	Aphasia	Symptom
D001039	Aphasia, Broca	Symptom
D001041	Aphasia, Wernicke	Symptom
D001044	Aphonia	Symptom
D001049	Apnea	Symptom
D001072	Apraxias	Symptom
D001184	Articulation Disorders	Symptom
D001247	Asthenia	Symptom
D001259	Ataxia	Symptom
D001264	Athetosis	Symptom
D001308	Auditory Perceptual Disorders	Symptom
D001416	Back Pain	Symptom
D001724	Birth Weight	Symptom
D001750	Urinary Bladder, Neurogenic	Symptom
D001766	Blindness	Symptom
D001835	Body Weight	Symptom
D002032	Bulimia	Symptom
D002100	Cachexia	Symptom
D002303	Cardiac Output, Low	Symptom
D002375	Catalepsy	Symptom
D002389	Catatonia	Symptom
D002524	Cerebellar Ataxia	Symptom
D002558	Cerebrospinal Fluid Otorrhea	Symptom
D002559	Cerebrospinal Fluid Rhinorrhea	Symptom
D002637	Chest Pain	Symptom
D002639	Cheyne-Stokes Respiration	Symptom
D002819	Chorea	Symptom
D003117	Color Vision Defects	Symptom
D003128	Coma	Symptom
D003147	Communication Disorders	Symptom
D003221	Confusion	Symptom
D003244	Consciousness Disorders	Symptom
D003248	Constipation	Symptom
D003294	Seizures, Febrile	Symptom
D003371	Cough	Symptom
D003490	Cyanosis	Symptom
D003638	Deafness	Symptom
D003639	Hearing Loss, Sudden	Symptom
D003655	Decerebrate State	Symptom
D003693	Delirium	Symptom
D003967	Diarrhea	Symptom
D003968	Diarrhea, Infantile	Symptom
D004172	Diplopia	Symptom
D004244	Dizziness	Symptom
D004401	Dysarthria	Symptom
D004408	Dysgeusia	Symptom
D004409	Dyskinesia, Drug-Induced	Symptom
D004410	Dyslexia	Symptom
D004411	Dyslexia, Acquired	Symptom
D004412	Dysmenorrhea	Symptom
D004415	Dyspepsia	Symptom
D004417	Dyspnea	Symptom
D004418	Dyspnea, Paroxysmal	Symptom
D004421	Dystonia	Symptom
D004433	Earache	Symptom
D004438	Ecchymosis	Symptom
D004454	Echolalia	Symptom
D004487	Edema	Symptom
D004489	Edema, Cardiac	Symptom
D004614	Emaciation	Symptom
D004688	Encopresis	Symptom
D004844	Epistaxis	Symptom
D004884	Eructation	Symptom
D004890	Erythema	Symptom
D005130	Eye Hemorrhage	Symptom
D005132	Eye Manifestations	Symptom
D005157	Facial Pain	Symptom
D005158	Facial Paralysis	Symptom
D005183	Failure to Thrive	Symptom
D005207	Fasciculation	Symptom
D005221	Fatigue	Symptom
D005222	Mental Fatigue	Symptom
D005262	Feminization	Symptom
D005311	Fetal Hypoxia	Symptom
D005316	Fetal Distress	Symptom
D005320	Fetal Macrosomia	Symptom
D005334	Fever	Symptom
D005335	Fever of Unknown Origin	Symptom
D005414	Flatulence	Symptom
D005483	Flushing	Symptom
D005683	Gagging	Symptom
D005862	Gerstmann Syndrome	Symptom
D005926	Glossalgia	Symptom
D006209	Halitosis	Symptom
D006212	Hallucinations	Symptom
D006261	Headache	Symptom
D006311	Hearing Disorders	Symptom
D006312	Hearing Loss, Bilateral	Symptom
D006313	Hearing Loss, Central	Symptom
D006314	Hearing Loss, Conductive	Symptom
D006315	Hearing Loss, Functional	Symptom
D006316	Hearing Loss, High-Frequency	Symptom
D006317	Hearing Loss, Noise-Induced	Symptom
D006319	Hearing Loss, Sensorineural	Symptom
D006337	Heart Murmurs	Symptom
D006356	Heartburn	Symptom
D006396	Hematemesis	Symptom
D006423	Hemianopsia	Symptom
D006429	Hemiplegia	Symptom
D006456	Hemoglobinuria	Symptom
D006469	Hemoptysis	Symptom
D006472	Oral Hemorrhage	Symptom
D006606	Hiccup	Symptom
D006628	Hirsutism	Symptom
D006685	Hoarseness	Symptom
D006732	Horner Syndrome	Symptom
